coef,12,16,20,24
1.000,0.568,0.563,0.509,0.507
2.000,0.479,0.407,0.629,0.571
5.000,0.507,0.521,0.504,0.547
15.000,0.563,0.556,0.504,0.568
25.000,0.430,0.379,0.507,0.568
