prompt_idx,layer,alpha_A,alpha_B,eps_A,eps_B,steer_layer,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,model,vecA_path,vecB_path,roleA,roleB
0,19,0.0,2.0,0.1,0.1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,20,0.0,2.0,0.1,0.1,20,1.9993549585342407,0.20804595947265625,1.99920654296875,0.20804595947265625,1.99920654296875,0.25201064348220825,1.940088152885437,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,21,0.0,2.0,0.1,0.1,20,2.3147919178009033,0.21306112408638,2.084909439086914,0.17898300290107727,1.9953309297561646,0.3748195767402649,2.0096778869628906,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,22,0.0,2.0,0.1,0.1,20,2.4949798583984375,0.21307508647441864,2.0718977451324463,0.1453016847372055,1.9893136024475098,0.3610570430755615,2.0605545043945312,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,23,0.0,2.0,0.1,0.1,20,2.648956298828125,0.22090542316436768,2.099771022796631,0.1347309798002243,2.030311107635498,0.33815959095954895,2.034377098083496,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,24,0.0,2.0,0.1,0.1,20,2.792367458343506,0.20129068195819855,2.0963258743286133,0.11249873042106628,2.0489680767059326,0.35576024651527405,2.0705320835113525,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,25,0.0,2.0,0.1,0.1,20,2.980774402618408,0.21236655116081238,2.129483699798584,0.11962610483169556,2.084662437438965,0.40979474782943726,2.1036481857299805,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,26,0.0,2.0,0.1,0.1,20,3.240025758743286,0.24831435084342957,2.192328691482544,0.11991310864686966,2.1271703243255615,0.4329753518104553,2.2162017822265625,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,27,0.0,2.0,0.1,0.1,20,3.418067216873169,0.26596900820732117,2.204929828643799,0.14458197355270386,2.1681342124938965,0.3961337208747864,2.2286033630371094,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
0,28,0.0,2.0,0.1,0.1,20,3.745316982269287,0.29357612133026123,2.296067476272583,0.15289989113807678,2.2464370727539062,0.4912486672401428,2.4094507694244385,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
