layer,creative,neutral,combined_avg
19,-0.3768107995390892,-0.3096758410334587,-0.3432433202862739
20,-0.45427366681396963,-0.24677728451788425,-0.35052547566592696
21,-0.43740838058292864,-0.15171233266592027,-0.2945603566244245
22,-0.4751394584774971,0.02755652740597725,-0.22379146553575993
23,-0.5511556163430213,0.016884631291031817,-0.2671354925259948
24,-0.60433958619833,0.014915855228900909,-0.2947118654847145
25,-0.6529151946306229,0.08610901311039924,-0.28340309076011183
26,-0.4714938968420029,0.3430363044142723,-0.06422879621386529
27,-0.7078836470842361,0.2384354963898659,-0.23472407534718512
28,-0.7189843773841857,0.16296998113393785,-0.278007198125124
29,-0.8051793605089188,0.06744464039802549,-0.3688673600554467
30,-0.7236161798238754,-0.014590677618980353,-0.3691034287214279
31,-1.9276778757572175,0.193062686920166,-0.8673075944185258
