layer,creative,neutral,combined_avg
19,0.1400377243757248,0.04150131940841677,0.09076952189207077
20,0.1468379393219948,0.07733158841729164,0.11208476386964322
21,0.13212969601154329,0.16422424875199795,0.14817697238177063
22,0.14518672227859497,0.2926972217857837,0.21894197203218935
23,0.16331949830055234,0.24596494063735003,0.20464221946895117
24,0.13751866221427916,0.34048208370804783,0.2390003729611635
25,0.12101118117570878,0.40027995109558107,0.26064556613564493
26,0.19055381417274475,0.5090160012245178,0.3497849076986313
27,0.23360002934932708,0.6181339293718338,0.42586697936058043
28,0.30198233425617216,0.7502087086439133,0.5260955214500427
29,0.45901067852973937,0.856991657614708,0.6580011680722236
30,0.6026522487401962,0.7866529107093811,0.6946525797247887
31,2.750606971979141,3.416398984193802,3.0835029780864716
