layer,creative,neutral,combined_avg
19,0.149663870036602,0.0004924885928630857,0.07507817931473254
20,0.1468379393219948,0.07733158841729164,0.11208476386964322
21,0.16418296694755555,0.22105722203850747,0.19262009449303152
22,0.19728885143995284,0.44954736307263377,0.3234181072562933
23,0.17455664053559306,0.4318454392254353,0.30320103988051417
24,0.1712995156645775,0.46590221375226976,0.31860086470842364
25,0.2454805850982666,0.8712227582931519,0.5583516716957092
26,0.4790746092796326,1.2004071652889252,0.8397408872842789
27,0.34638077318668364,1.2962962239980698,0.8213384985923767
28,0.373219245672226,1.4268342941999435,0.9000267699360847
29,0.4106280475854874,1.58365718126297,0.9971426144242287
30,0.4062332004308701,1.7394826889038086,1.0728579446673394
31,-0.2570763558149337,2.155492585897446,0.9492081150412561
