prompt_idx,layer,steer_layer,alpha_A,alpha_B,eps_A,eps_B,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,cos_tA_tB,model,vecA_path,vecB_path
1,20,20,1.0,1.0,0.1,0.1,1.4850425720214844,1.1042799949645996,1.102802038192749,1.1042799949645996,1.102802038192749,1.0947115421295166,1.0783188343048096,0.11336777012580307,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,21,20,1.0,1.0,0.1,0.1,1.7162024974822998,1.1284329891204834,1.1187608242034912,1.0596327781677246,1.0721747875213623,1.1444236040115356,1.1882421970367432,0.19464527081294922,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,22,20,1.0,1.0,0.1,0.1,1.8872750997543335,1.1432404518127441,1.1182239055633545,1.0782047510147095,1.0719082355499268,1.1158435344696045,1.1818032264709473,0.20084047953628517,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,23,20,1.0,1.0,0.1,0.1,1.9907540082931519,1.159112572669983,1.1103308200836182,1.11780846118927,1.0692391395568848,1.1508469581604004,1.1640911102294922,0.2378033468625829,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,24,20,1.0,1.0,0.1,0.1,2.1495516300201416,1.133376121520996,1.122107744216919,1.095049500465393,1.0749874114990234,1.2204831838607788,1.2016284465789795,0.26095619667098563,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,25,20,1.0,1.0,0.1,0.1,2.3494651317596436,1.152127981185913,1.1593647003173828,1.1202538013458252,1.0970897674560547,1.3097425699234009,1.1731735467910767,0.3685364661563679,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,26,20,1.0,1.0,0.1,0.1,2.6200568675994873,1.174726963043213,1.1877063512802124,1.1152725219726562,1.132077932357788,1.4135618209838867,1.3184157609939575,0.4635041828135902,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,27,20,1.0,1.0,0.1,0.1,2.888943910598755,1.1855535507202148,1.2093857526779175,1.1402966976165771,1.1538052558898926,1.5741875171661377,1.4567124843597412,0.4489818063324017,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,28,20,1.0,1.0,0.1,0.1,3.029480457305908,1.1944425106048584,1.2016125917434692,1.1517068147659302,1.14601731300354,1.5161588191986084,1.3860982656478882,0.460056587437485,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,29,20,1.0,1.0,0.1,0.1,3.3852756023406982,1.2142324447631836,1.2399544715881348,1.265444278717041,1.189652442932129,1.6461920738220215,1.4224063158035278,0.39781005343378545,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
