prompt_idx,layer,steer_layer,alpha_A,alpha_B,eps_A,eps_B,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,cos_tA_tB,model,vecA_path,vecB_path
1,20,20,1.0,1.0,0.1,0.1,1.4850915670394897,1.1041027307510376,1.1029753684997559,1.1041027307510376,1.1029753684997559,1.0989406108856201,1.077333927154541,0.12372059367422707,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,21,20,1.0,1.0,0.1,0.1,1.708180546760559,1.1435778141021729,1.1537460088729858,1.0791536569595337,1.1047422885894775,1.1646662950515747,1.1358004808425903,0.2249787926825288,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,22,20,1.0,1.0,0.1,0.1,1.8669867515563965,1.1743887662887573,1.160312533378601,1.0920568704605103,1.1200237274169922,1.1828815937042236,1.1580111980438232,0.28343156075358916,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,23,20,1.0,1.0,0.1,0.1,1.9821910858154297,1.1864960193634033,1.1752996444702148,1.105019450187683,1.1468440294265747,1.1513859033584595,1.165759563446045,0.2457782040171102,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,24,20,1.0,1.0,0.1,0.1,2.105445623397827,1.1709790229797363,1.1853859424591064,1.095883846282959,1.1601319313049316,1.1366873979568481,1.217015266418457,0.2929716869288432,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,25,20,1.0,1.0,0.1,0.1,2.2661423683166504,1.2068301439285278,1.2218730449676514,1.1377240419387817,1.190216302871704,1.1418615579605103,1.2638475894927979,0.32390866901669235,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,26,20,1.0,1.0,0.1,0.1,2.4563260078430176,1.2588273286819458,1.2633838653564453,1.1729414463043213,1.2339982986450195,1.2323538064956665,1.3584568500518799,0.3595957076309473,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,27,20,1.0,1.0,0.1,0.1,2.6057634353637695,1.2716108560562134,1.2503199577331543,1.195603847503662,1.2357277870178223,1.2598037719726562,1.3757885694503784,0.3771457985490164,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,28,20,1.0,1.0,0.1,0.1,2.8342084884643555,1.311991810798645,1.2919349670410156,1.2307705879211426,1.2687424421310425,1.3112282752990723,1.4278178215026855,0.3715173353899032,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,29,20,1.0,1.0,0.1,0.1,3.1390953063964844,1.3740535974502563,1.3338192701339722,1.3604122400283813,1.3235875368118286,1.455165147781372,1.5529425144195557,0.37821369980121317,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,30,20,1.0,1.0,0.1,0.1,3.6163136959075928,1.4060497283935547,1.3814060688018799,1.4731192588806152,1.4672234058380127,1.6666927337646484,1.73653244972229,0.4003286838923657,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,31,20,1.0,1.0,0.1,0.1,5.455921173095703,0.865591287612915,1.073258399963379,1.3346843719482422,1.272275686264038,2.1045780181884766,2.539212465286255,0.4549263476446853,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,19,20,1.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,20,20,1.0,1.0,0.1,0.1,1.4862912893295288,1.1047747135162354,1.1040116548538208,1.1047747135162354,1.1040116548538208,1.0754698514938354,1.0703489780426025,0.10192037018316175,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,21,20,1.0,1.0,0.1,0.1,1.6698890924453735,1.1075570583343506,1.1240103244781494,1.047597050666809,1.07490873336792,1.06600022315979,0.9989585876464844,0.17632966434691166,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,22,20,1.0,1.0,0.1,0.1,1.7945995330810547,1.0961418151855469,1.1009280681610107,1.01300048828125,1.0718985795974731,1.032395839691162,1.0316609144210815,0.24110622757044894,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,23,20,1.0,1.0,0.1,0.1,1.9383052587509155,1.0983918905258179,1.1075812578201294,1.0036119222640991,1.0721173286437988,1.025193452835083,1.1259621381759644,0.2793054913646559,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,24,20,1.0,1.0,0.1,0.1,2.0328190326690674,1.081171989440918,1.1220905780792236,0.9755895733833313,1.0803484916687012,1.0411492586135864,0.9374911785125732,0.3007025122642688,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,25,20,1.0,1.0,0.1,0.1,2.163937568664551,1.1028233766555786,1.1313737630844116,0.9906107187271118,1.0856140851974487,1.0661518573760986,0.985734224319458,0.33490990523819675,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,26,20,1.0,1.0,0.1,0.1,2.304131031036377,1.0984370708465576,1.1403181552886963,0.9760594367980957,1.111626386642456,1.0777020454406738,1.1601608991622925,0.3377325333516424,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,27,20,1.0,1.0,0.1,0.1,2.4511852264404297,1.1002511978149414,1.138863205909729,0.9845871925354004,1.0996594429016113,1.0920772552490234,1.1604712009429932,0.35860634302025496,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,28,20,1.0,1.0,0.1,0.1,2.6636786460876465,1.1218211650848389,1.1656877994537354,0.999549388885498,1.1137603521347046,1.1997034549713135,1.2563395500183105,0.38252101228028795,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,29,20,1.0,1.0,0.1,0.1,2.945338010787964,1.134336233139038,1.2027695178985596,1.0523974895477295,1.1596245765686035,1.3008308410644531,1.3842307329177856,0.4204109575079563,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,30,20,1.0,1.0,0.1,0.1,3.3623597621917725,1.1326889991760254,1.245047688484192,1.1063156127929688,1.253404140472412,1.4880084991455078,1.521735429763794,0.44810792916540554,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,31,20,1.0,1.0,0.1,0.1,5.199289321899414,0.658378005027771,0.9333789348602295,0.8545059561729431,1.0417520999908447,2.1488773822784424,1.928985595703125,0.43925469027551917,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,19,20,1.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,20,20,1.0,1.0,0.1,0.1,1.4862715005874634,1.1049233675003052,1.103821039199829,1.1049233675003052,1.103821039199829,1.0832003355026245,1.0754997730255127,0.11450580257316999,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,21,20,1.0,1.0,0.1,0.1,1.6860102415084839,1.1189656257629395,1.141050934791565,1.0553152561187744,1.0912318229675293,1.067330241203308,1.059428095817566,0.20303425843136885,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,22,20,1.0,1.0,0.1,0.1,1.8659981489181519,1.1084315776824951,1.1349352598190308,1.023864507675171,1.1025965213775635,1.1178083419799805,1.1218342781066895,0.2548958238400341,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,23,20,1.0,1.0,0.1,0.1,2.0258705615997314,1.099592685699463,1.1403096914291382,1.0004940032958984,1.1021759510040283,1.1453007459640503,1.0974164009094238,0.28773899516856843,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,24,20,1.0,1.0,0.1,0.1,2.139592409133911,1.0978147983551025,1.143568754196167,0.9818736910820007,1.1045594215393066,1.1554204225540161,1.1347875595092773,0.30727145758532254,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,25,20,1.0,1.0,0.1,0.1,2.250001907348633,1.115995168685913,1.146653413772583,0.9851786494255066,1.1035351753234863,1.1496286392211914,1.1407818794250488,0.310606535185552,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
