coef,12,16,20,24
1.000,0.481,0.776,0.498,0.607
2.000,0.592,0.507,0.490,0.809
5.000,0.587,0.430,0.626,0.434
15.000,0.699,0.507,0.877,0.568
25.000,0.551,0.556,0.563,0.509
