People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,4,4,2,4,3,2,4,5,2,2,4,2,2,4,2,3,4,3,3,4,2,2,5,4,2,4,3,4,4,1,2,4,2,2,4,3,2,2,2,5,5,2,1,4,3,2,5,4,5,3,1,4,5,2,4,5,3,3,5,3,4,5,3,2,4,5,2,5,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,1,4,5,2,4,5,3,3,5,3,4,5,3,2,4,5,2,5,4,2,5,
,3,3,4,4,1,2,2,2,1,3,3,5,2,1,3,1,3,2,4,4,3,3,1,3,4,2,3,3,4,3,2,3,2,5,3,4,5,2,3,2,3,3,4,2,5,4,2,1,4,5,2,3,3,2,2,4,4,4,4,3,3,2,5,4,1,1,5,3,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,3,3,2,2,4,4,4,4,3,3,2,5,4,1,1,5,3,5,2,1,1,
,1,4,5,1,2,4,2,5,2,1,1,3,4,2,5,1,3,5,4,1,3,4,1,4,5,4,5,2,4,5,1,3,3,2,2,3,4,1,4,3,4,4,4,2,5,4,2,5,1,5,2,1,4,5,1,5,3,1,1,5,3,3,4,4,1,4,5,2,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,1,4,5,1,5,3,1,1,5,3,3,4,4,1,4,5,2,5,4,2,3,
,4,2,3,5,3,4,1,5,5,5,4,2,4,3,5,2,4,4,4,3,4,5,2,5,4,2,5,4,2,5,5,2,2,5,3,5,5,3,5,3,5,5,3,2,5,5,3,5,4,4,5,2,5,5,4,5,5,5,4,5,5,5,5,3,2,5,5,2,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,2,5,5,4,5,5,5,4,5,5,5,5,3,2,5,5,2,5,5,5,4,
,3,4,5,3,3,4,2,3,5,1,2,5,3,3,5,2,3,4,3,3,5,3,2,5,2,3,4,3,4,4,3,3,5,3,3,5,5,2,4,3,4,4,4,3,4,4,3,5,3,4,5,2,1,4,5,2,5,4,2,4,4,4,4,3,2,4,5,2,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,2,1,4,5,2,5,4,2,4,4,4,4,3,2,4,5,2,5,4,3,5,
,2.666666667,3.555555556,4.111111111,3.444444444,3.111111111,3.111111111,2.111111111,3.555555556,3.666666667,2.666666667,2.777777778,3.666666667,3.111111111,2.444444444,4.444444444,1.777777778,3.333333333,3.888888889,3.888888889,3.222222222,4,3.888888889,2,4.333333333,3,4,2,2,3,2,2,4,3,2,2,2,3,2,2,2,3,3,3,3,3,3,2,4,3.1,4.3,3.2,2.4,3.4,3.9,3,3.8,4.1,3.6,2.9,4.1,3.1,3.6,4.4,3.2,2,4,4.5,2.5,4.8,3.8,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.666666667,3.555555556,4.111111111,3.444444444,3.111111111,3.111111111,2.111111111,3.555555556,3.666666667,2.666666667,2.777777778,3.666666667,3.111111111,2.444444444,4.444444444,1.777777778,3.333333333,3.888888889,3.888888889,3.222222222,4,3.888888889,2,4.333333333,4.22,2.8,3.7,3.1,3.4,3.7,2.6,3,3.2,3.2,2.7,3.5,4.1,2.3,3.4,2.7,3.8,4,3.2,2.4,3.9,3.7,2.5,4.2,4,5,4,2,5,4,3,5,5,3,4,5,3,5,5,3,2,5,5,3,5,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,2,5,4,3,5,5,3,4,5,3,5,5,3,2,5,5,3,5,4,2,5,Can I get special thanks after this paper being accepted?
,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,5,4,4,5,4,4,5,5,4,4,4,5,4,4,3,4,4,5,5,4,5,3,4,5,5,4,5,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,3,4,4,5,5,4,5,3,4,5,5,4,5,4,5,5,5,5,5,Good
,3,4,5,5,5,3,2,4,5,3,3,3,3,2,4,1,3,4,5,3,4,5,1,5,3,2,4,3,5,5,2,2,3,2,2,3,5,2,3,3,4,5,3,3,4,4,2,5,4,5,3,3,4,5,4,4,5,4,3,4,3,3,4,3,3,5,4,2,5,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,3,4,5,4,4,5,4,3,4,3,3,4,3,3,5,4,2,5,5,1,4,
,2,2,2,4,1,1,4,3,1,3,4,4,4,2,5,1,4,4,5,3,4,4,1,5,1,1,3,5,1,1,4,4,4,5,5,2,4,2,3,3,3,3,3,2,4,4,2,4,1,3,2,5,1,1,4,1,1,5,3,1,3,3,4,3,1,4,5,2,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,5,1,1,4,1,1,5,3,1,3,3,4,3,1,4,5,2,4,3,2,4,
