prompt_idx,layer,alpha_A,alpha_B,eps_A,eps_B,steer_layer,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,model,vecA_path,vecB_path,roleA,roleB
1,22,2.0,0.0,0.1,0.1,20,2.434229612350464,2.0670676231384277,0.24044299125671387,2.007734775543213,0.2483149766921997,2.019129753112793,0.3495398461818695,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,23,2.0,0.0,0.1,0.1,20,2.5861504077911377,2.092282772064209,0.23900246620178223,2.076990842819214,0.25428497791290283,2.041232109069824,0.33091193437576294,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,24,2.0,0.0,0.1,0.1,20,2.769916296005249,2.0757598876953125,0.2539827823638916,2.08693790435791,0.255548357963562,2.0686659812927246,0.36772704124450684,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,25,2.0,0.0,0.1,0.1,20,2.9979159832000732,2.1177310943603516,0.26900190114974976,2.1471948623657227,0.26060914993286133,2.0419840812683105,0.4756180942058563,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,26,2.0,0.0,0.1,0.1,20,3.3080501556396484,2.150566339492798,0.2889205813407898,2.162557601928711,0.31795305013656616,2.104869842529297,0.6354767084121704,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,27,2.0,0.0,0.1,0.1,20,3.669102191925049,2.1971211433410645,0.28429436683654785,2.238823652267456,0.3089559078216553,2.302718162536621,0.8025758862495422,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,28,2.0,0.0,0.1,0.1,20,3.938542366027832,2.237011432647705,0.2818715572357178,2.278928279876709,0.2902255058288574,2.3567161560058594,0.7501028776168823,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,29,2.0,0.0,0.1,0.1,20,4.4918437004089355,2.3271679878234863,0.30698174238204956,2.4786581993103027,0.32405006885528564,2.5818963050842285,0.7385944128036499,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,30,2.0,0.0,0.1,0.1,20,5.107851982116699,2.359365701675415,0.3769789934158325,2.6270055770874023,0.4221620559692383,2.821307897567749,0.9364694356918335,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
1,31,2.0,0.0,0.1,0.1,20,8.666540145874023,1.7153637409210205,0.31092846393585205,2.567042350769043,0.32272836565971375,5.495923042297363,4.381504058837891,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist
